ID,Index,Local X,Local Y,Local Z,Local Euler Angle X,Local Euler Angle Y,Local Euler Angle Z
BL14,0,0.03261093,1.43855,-0.1616863,0,0,0
BL16,1,0.03261093,1.378749,-0.1616863,0,0,0
BL20,2,0.03261093,1.26635,-0.1381862,0,0,0
BL21,3,0.03261093,1.24495,-0.1317862,0,0,0
BL17,4,0.03261093,1.34835,-0.1591863,0,0,0
BL18,5,0.03261093,1.32815,-0.1537863,0,0,0
ST16,6,0.08601093,1.42085,0.1001838,0,180,0
ST24,7,0.06441092,1.14285,0.1117138,0,180,0
HT1,8,0.1757109,1.41985,0.02667375,0,180,0
SP16,9,0.1050109,1.16925,0.07051379,0,180,0
BL29,10,0.03821092,1.026449,-0.1510862,0,0,0
SI12,11,0.1256109,1.49405,-0.1337863,0,0,0
ST11,12,0.03621093,1.50091,0.05831377,53.92137,180,53.92137
SI14,13,0.06731092,1.51765,-0.1267863,0,0,0
BL22,14,0.03261093,1.21965,-0.1257862,0,0,0
BL23,15,0.03261093,1.194049,-0.1214862,0,0,0
ST17,16,0.08601093,1.38415,0.1098138,0,180,0
ST23,17,0.06441092,1.16925,0.1062138,0,180,0
ST28,18,0.06441092,1.03165,0.08931383,0,180,0
BL34,19,0.02221093,1.01605,-0.1473862,0,0,0
ST22,20,0.06441092,1.20035,0.1062138,0,180,0
ST20,21,0.06441092,1.25645,0.1103138,0,180,0
BL32,22,0.02961093,1.05145,-0.1435762,0,0,0
BL33,23,0.02531093,1.026449,-0.1473062,0,0,0
SP15,24,0.1050109,1.11665,0.0761138,0,180,0
BL11,25,0.03261093,1.51765,-0.1260863,0,0,0
SI13,26,0.09061093,1.48975,-0.1451163,0,0,0
ST15,27,0.08601093,1.45565,0.07921376,0,180,0
BL31,28,0.02921093,1.072049,-0.1363362,0,0,0
BL28,29,0.04041092,1.05145,-0.1460862,0,0,0
SI10,30,0.1681109,1.49405,-0.1095863,0,0,0
ST25,31,0.06441092,1.11665,0.1108138,0,180,0
ST21,32,0.06441092,1.23375,0.1110138,0,180,0
ST26,33,0.06441092,1.09475,0.1063138,0,180,0
ST27,34,0.06441092,1.06185,0.09921382,0,180,0
ST14,35,0.08601093,1.47535,0.06341375,0,180,0
SP20,36,0.1399109,1.45945,0.05001376,0,180,0
BL12,37,0.03261093,1.49405,-0.1422863,0,0,0
BL13,38,0.03261093,1.467149,-0.1530863,0,0,0
BL30,39,0.03521093,1.017149,-0.1519862,0,0,0
BL24,40,0.03261093,1.16845,-0.1193862,0,0,0
LI16,41,0.1681109,1.45435,-0.1313263,0,0,0
SP18,42,0.1399109,1.39405,0.07467377,0,180,0
SP19,43,0.1399109,1.42085,0.06937376,0,180,0
BL19,44,0.03261093,1.29155,-0.1447863,0,0,0
BL15,45,0.03261093,1.412549,-0.1616863,0,0,0
SI15,46,0.04891093,1.53345,-0.1143263,0,0,0
ST29,47,0.06441092,1.01135,0.08281382,0,180,0
BL25,48,0.03261093,1.12105,-0.1226862,0,0,0
LI15,49,0.1623109,1.53114,-0.05768626,90,180,90
ST30,50,0.06441092,0.9922495,0.07775383,0,180,0
SI11,51,0.1256109,1.412549,-0.1550863,0,0,0
LU1,52,0.1522109,1.47535,0.04413376,0,180,0
LU2,53,0.1522109,1.48615,0.04153376,0,180,0
SP12,54,0.06751093,0.9696496,0.07418383,0,180,0
